文史类(全国性加分),458,314,24864,24551
文史类(全国性加分),457,349,25213,24865
文史类(全国性加分),456,349,25562,25214
文史类(全国性加分),455,343,25905,25563
文史类(全国性加分),454,319,26224,25906
文史类(全国性加分),453,344,26568,26225
文史类(全国性加分),452,309,26877,26569
文史类(全国性加分),451,303,27180,26878
文史类(全国性加分),450,330,27510,27181
文史类(全国性加分),449,324,27834,27511
文史类(全国性加分),448,306,28140,27835
文史类(全国性加分),447,354,28494,28141
文史类(全国性加分),446,326,28820,28495
文史类(全国性加分),445,368,29188,28821
文史类(全国性加分),444,345,29533,29189
文史类(全国性加分),443,356,29889,29534
文史类(全国性加分),442,322,30211,29890
文史类(全国性加分),441,321,30532,30212
文史类(全国性加分),440,368,30900,30533
文史类(全国性加分),439,330,31230,30901
文史类(全国性加分),438,363,31593,31231
文史类(全国性加分),437,351,31944,31594
文史类(全国性加分),436,354,32298,31945
文史类(全国性加分),435,365,32663,32299
文史类(全国性加分),434,316,32979,32664
文史类(全国性加分),433,381,33360,32980
文史类(全国性加分),432,397,33757,33361
文史类(全国性加分),431,378,34135,33758
文史类(全国性加分),430,371,34506,34136
文史类(全国性加分),429,337,34843,34507
文史类(全国性加分),428,353,35196,34844
文史类(全国性加分),427,394,35590,35197
文史类(全国性加分),426,332,35922,35591
文史类(全国性加分),425,404,36326,35923
文史类(全国性加分),424,405,36731,36327
文史类(全国性加分),423,424,37155,36732
文史类(全国性加分),422,380,37535,37156
文史类(全国性加分),421,396,37931,37536
文史类(全国性加分),420,413,38344,37932
文史类(全国性加分),419,384,38728,38345
文史类(全国性加分),418,398,39126,38729
文史类(全国性加分),417,382,39508,39127
文史类(全国性加分),416,414,39922,39509
文史类(全国性加分),415,403,40325,39923
文史类(全国性加分),414,411,40736,40326
文史类(全国性加分),413,392,41128,40737
文史类(全国性加分),412,395,41523,41129
文史类(全国性加分),411,430,41953,41524
文史类(全国性加分),410,424,42377,41954
文史类(全国性加分),409,422,42799,42378
文史类(全国性加分),408,390,43189,42800
文史类(全国性加分),407,483,43672,43190
文史类(全国性加分),406,411,44083,43673
文史类(全国性加分),405,409,44492,44084
文史类(全国性加分),404,407,44899,44493
文史类(全国性加分),403,415,45314,44900
文史类(全国性加分),402,438,45752,45315
文史类(全国性加分),401,434,46186,45753
文史类(全国性加分),400,406,46592,46187
文史类(全国性加分),399,438,47030,46593
文史类(全国性加分),398,426,47456,47031
文史类(全国性加分),397,419,47875,47457
文史类(全国性加分),396,463,48338,47876
文史类(全国性加分),395,435,48773,48339
文史类(全国性加分),394,419,49192,48774
文史类(全国性加分),393,432,49624,49193
文史类(全国性加分),392,395,50019,49625
文史类(全国性加分),391,408,50427,50020
文史类(全国性加分),390,458,50885,50428
文史类(全国性加分),389,386,51271,50886
文史类(全国性加分),388,454,51725,51272
文史类(全国性加分),387,442,52167,51726
文史类(全国性加分),386,437,52604,52168
文史类(全国性加分),385,449,53053,52605
文史类(全国性加分),384,452,53505,53054
文史类(全国性加分),383,438,53943,53506
文史类(全国性加分),382,443,54386,53944
文史类(全国性加分),381,481,54867,54387
文史类(全国性加分),380,493,55360,54868
文史类(全国性加分),379,435,55795,55361
文史类(全国性加分),378,448,56243,55796
文史类(全国性加分),377,441,56684,56244
文史类(全国性加分),376,456,57140,56685
文史类(全国性加分),375,453,57593,57141
文史类(全国性加分),374,467,58060,57594
文史类(全国性加分),373,434,58494,58061
文史类(全国性加分),372,450,58944,58495
文史类(全国性加分),371,472,59416,58945
文史类(全国性加分),370,440,59856,59417
文史类(全国性加分),369,464,60320,59857
文史类(全国性加分),368,444,60764,60321
文史类(全国性加分),367,462,61226,60765
文史类(全国性加分),366,421,61647,61227
文史类(全国性加分),365,477,62124,61648
文史类(全国性加分),364,492,62616,62125
文史类(全国性加分),363,488,63104,62617
文史类(全国性加分),362,449,63553,63105
文史类(全国性加分),361,468,64021,63554
文史类(全国性加分),360,453,64474,64022
文史类(全国性加分),359,436,64910,64475
文史类(全国性加分),358,475,65385,64911
文史类(全国性加分),357,467,65852,65386
文史类(全国性加分),356,435,66287,65853
文史类(全国性加分),355,426,66713,66288
文史类(全国性加分),354,486,67199,66714
文史类(全国性加分),353,451,67650,67200
文史类(全国性加分),352,454,68104,67651
文史类(全国性加分),351,490,68594,68105
文史类(全国性加分),350,436,69030,68595
文史类(全国性加分),349,450,69480,69031
文史类(全国性加分),348,430,69910,69481
文史类(全国性加分),347,452,70362,69911
文史类(全国性加分),346,457,70819,70363
文史类(全国性加分),345,467,71286,70820
文史类(全国性加分),344,471,71757,71287
文史类(全国性加分),343,444,72201,71758
文史类(全国性加分),342,469,72670,72202
文史类(全国性加分),341,466,73136,72671
文史类(全国性加分),340,431,73567,73137
文史类(全国性加分),339,476,74043,73568
文史类(全国性加分),338,476,74519,74044
文史类(全国性加分),337,458,74977,74520
文史类(全国性加分),336,415,75392,74978
文史类(全国性加分),335,467,75859,75393
文史类(全国性加分),334,429,76288,75860
文史类(全国性加分),333,491,76779,76289
文史类(全国性加分),332,467,77246,76780
文史类(全国性加分),331,477,77723,77247
文史类(全国性加分),330,480,78203,77724
文史类(全国性加分),329,476,78679,78204
文史类(全国性加分),328,472,79151,78680
文史类(全国性加分),327,452,79603,79152
文史类(全国性加分),326,445,80048,79604
文史类(全国性加分),325,442,80490,80049
文史类(全国性加分),324,453,80943,80491
文史类(全国性加分),323,468,81411,80944
文史类(全国性加分),322,412,81823,81412
文史类(全国性加分),321,466,82289,81824
文史类(全国性加分),320,434,82723,82290
文史类(全国性加分),319,477,83200,82724
文史类(全国性加分),318,446,83646,83201
文史类(全国性加分),317,431,84077,83647
文史类(全国性加分),316,431,84508,84078
文史类(全国性加分),315,461,84969,84509
文史类(全国性加分),314,379,85348,84970
文史类(全国性加分),313,476,85824,85349
文史类(全国性加分),312,463,86287,85825
文史类(全国性加分),311,418,86705,86288
文史类(全国性加分),310,437,87142,86706
文史类(全国性加分),309,425,87567,87143
文史类(全国性加分),308,465,88032,87568
文史类(全国性加分),307,386,88418,88033
文史类(全国性加分),306,455,88873,88419
文史类(全国性加分),305,437,89310,88874
文史类(全国性加分),304,436,89746,89311
文史类(全国性加分),303,384,90130,89747
文史类(全国性加分),302,412,90542,90131
文史类(全国性加分),301,418,90960,90543
文史类(全国性加分),300,411,91371,90961
文史类(全国性加分),299,400,91771,91372
文史类(全国性加分),298,399,92170,91772
文史类(全国性加分),297,394,92564,92171
文史类(全国性加分),296,422,92986,92565
文史类(全国性加分),295,366,93352,92987
文史类(全国性加分),294,380,93732,93353
文史类(全国性加分),293,419,94151,93733
文史类(全国性加分),292,402,94553,94152
文史类(全国性加分),291,346,94899,94554
文史类(全国性加分),290,369,95268,94900
文史类(全国性加分),289,389,95657,95269
文史类(全国性加分),288,375,96032,95658
文史类(全国性加分),287,353,96385,96033
文史类(全国性加分),286,366,96751,96386
文史类(全国性加分),285,384,97135,96752
文史类(全国性加分),284,366,97501,97136
文史类(全国性加分),283,373,97874,97502
文史类(全国性加分),282,350,98224,97875
文史类(全国性加分),281,364,98588,98225
文史类(全国性加分),280,335,98923,98589
文史类(全国性加分),279,361,99284,98924
文史类(全国性加分),278,336,99620,99285
文史类(全国性加分),277,328,99948,99621
文史类(全国性加分),276,344,100292,99949
文史类(全国性加分),275,342,100634,100293
文史类(全国性加分),274,336,100970,100635
文史类(全国性加分),273,358,101328,100971
文史类(全国性加分),272,304,101632,101329
文史类(全国性加分),271,358,101990,101633
文史类(全国性加分),270,330,102320,101991
文史类(全国性加分),269,291,102611,102321
文史类(全国性加分),268,336,102947,102612
文史类(全国性加分),267,306,103253,102948
文史类(全国性加分),266,291,103544,103254
文史类(全国性加分),265,292,103836,103545
文史类(全国性加分),264,321,104157,103837
文史类(全国性加分),263,316,104473,104158
文史类(全国性加分),262,306,104779,104474
文史类(全国性加分),261,306,105085,104780
文史类(全国性加分),260,282,105367,105086
文史类(全国性加分),259,284,105651,105368
文史类(全国性加分),258,243,105894,105652
文史类(全国性加分),257,265,106159,105895
文史类(全国性加分),256,256,106415,106160
文史类(全国性加分),255,258,106673,106416
文史类(全国性加分),254,289,106962,106674
文史类(全国性加分),253,285,107247,106963
文史类(全国性加分),252,243,107490,107248
文史类(全国性加分),251,245,107735,107491
文史类(全国性加分),250,251,107986,107736
文史类(全国性加分),249,236,108222,107987
文史类(全国性加分),248,244,108466,108223
文史类(全国性加分),247,246,108712,108467
文史类(全国性加分),246,219,108931,108713
文史类(全国性加分),245,262,109193,108932
文史类(全国性加分),244,227,109420,109194
文史类(全国性加分),243,206,109626,109421
文史类(全国性加分),242,181,109807,109627
文史类(全国性加分),241,226,110033,109808
文史类(全国性加分),240,207,110240,110034
文史类(全国性加分),239,198,110438,110241
文史类(全国性加分),238,196,110634,110439
文史类(全国性加分),237,179,110813,110635
文史类(全国性加分),236,196,111009,110814
文史类(全国性加分),235,226,111235,111010
文史类(全国性加分),234,198,111433,111236
文史类(全国性加分),233,189,111622,111434
文史类(全国性加分),232,164,111786,111623
文史类(全国性加分),231,168,111954,111787
文史类(全国性加分),230,161,112115,111955
文史类(全国性加分),229,148,112263,112116
文史类(全国性加分),228,174,112437,112264
文史类(全国性加分),227,152,112589,112438
文史类(全国性加分),226,165,112754,112590
文史类(全国性加分),225,157,112911,112755
文史类(全国性加分),224,139,113050,112912
文史类(全国性加分),223,140,113190,113051
文史类(全国性加分),222,145,113335,113191
文史类(全国性加分),221,155,113490,113336
文史类(全国性加分),220,151,113641,113491
文史类(全国性加分),219,130,113771,113642
文史类(全国性加分),218,135,113906,113772
文史类(全国性加分),217,150,114056,113907
文史类(全国性加分),216,120,114176,114057
文史类(全国性加分),215,122,114298,114177
文史类(全国性加分),214,124,114422,114299
文史类(全国性加分),213,112,114534,114423
文史类(全国性加分),212,110,114644,114535
文史类(全国性加分),211,127,114771,114645
文史类(全国性加分),210,109,114880,114772
文史类(全国性加分),209,114,114994,114881
文史类(全国性加分),208,103,115097,114995
文史类(全国性加分),207,103,115200,115098
文史类(全国性加分),206,87,115287,115201
文史类(全国性加分),205,99,115386,115288
文史类(全国性加分),204,91,115477,115387
文史类(全国性加分),203,87,115564,115478
文史类(全国性加分),202,95,115659,115565
文史类(全国性加分),201,87,115746,115660
文史类(全国性加分),200,93,115839,115747
文史类(全国性加分),199,81,115920,115840
文史类(全国性加分),198,84,116004,115921
文史类(全国性加分),197,67,116071,116005
文史类(全国性加分),196,70,116141,116072
文史类(全国性加分),195,82,116223,116142
文史类(全国性加分),194,77,116300,116224
文史类(全国性加分),193,67,116367,116301
文史类(全国性加分),192,69,116436,116368
文史类(全国性加分),191,62,116498,116437
文史类(全国性加分),190,61,116559,116499
文史类(全国性加分),189,57,116616,116560
文史类(全国性加分),188,62,116678,116617
文史类(全国性加分),187,70,116748,116679
文史类(全国性加分),186,48,116796,116749
文史类(全国性加分),185,61,116857,116797
文史类(全国性加分),184,61,116918,116858
文史类(全国性加分),183,58,116976,116919
文史类(全国性加分),182,58,117034,116977
文史类(全国性加分),181,44,117078,117035
文史类(全国性加分),180,39,117117,117079
